"WALLET_HISTORY_SEQ","WALLET_ID","USER_ID","GUBUN","SORT","COIN_ID","AMOUNT","BALANCE","REASON","REASON_DETAIL","REG_DATE","REG_USER","UP_DATE","UP_USER","USE_FLAG"
"30134","WL2020112600004","vishops","I","1","HSS","12045.16938519","76710.43634903","송금","크립토출금요청","2020-12-03 07:24:31","vishops","2020-12-03 15:25:37","vishops","N"
"30133","WL2020092600006","hss02","O","1","HSS","50070","1438288.52099808","출금","출금신청","2020-12-03 07:19:32","hss02","2020-12-04 00:05:40","hss02","N"
"30132","WL2020092600006","hss02","I","6","HSS","1106.6666666","1488358.52099808","마이닝청산","마이닝청산","2020-12-03 07:18:47","hss02","2020-12-03 07:19:32","hss02","N"
"30131","WL2020111700002","jbc5722","I","1","HSS","12065.35400084","92502.76945793","송금","크립토출금요청","2020-12-03 07:16:53","jbc5722","2020-12-04 08:32:33","jbc5722","N"
"30130","WL2020071400126","park1215","I","6","HSS","20","9862.69292298","마이닝청산","마이닝청산","2020-12-03 06:27:00","park1215","2020-12-07 14:26:31","park1215","N"
"30129","WL2020071400124","ckh004","I","6","HSS","233.333333","10694.28345563","마이닝청산","마이닝청산","2020-12-03 06:15:55","ckh004","2020-12-04 06:27:04","ckh004","N"
"30128","WL2020071301118","skim9291","I","6","HSS","266.666666","1031.98300094","마이닝청산","마이닝청산","2020-12-03 05:36:30","skim9291","2020-12-04 05:42:02","skim9291","N"
"30127","WL2020080700044","lee7739","O","1","HSS","50070","194066.15030787","출금","출금신청","2020-12-03 05:20:50","lee7739","2020-12-05 09:36:50","lee7739","N"
"30126","WL2020080700044","lee7739","I","6","HSS","200","244136.15030787","마이닝청산","마이닝청산","2020-12-03 05:20:27","lee7739","2020-12-03 05:20:50","lee7739","N"
"30125","WL2020072300002","lee7738","O","1","HSS","50070","181943.08403059","출금","출금신청","2020-12-03 05:20:03","lee7738","2020-12-05 09:33:30","lee7738","N"
"30124","WL2020072300002","lee7738","I","6","HSS","200","232013.08403059","마이닝청산","마이닝청산","2020-12-03 05:19:33","lee7738","2020-12-03 05:20:03","lee7738","N"
"30123","WL2020081500004","lmj1620","O","1","HSS","16723.49996799","0","출금","출금신청","2020-12-03 03:18:09","lmj1620",\n,\n,"Y"
"30118","WL2020081400016","kyh7524","I","9","HSS","10000","325610.21521792","만기","1","2020-12-03 03:05:00","kyh7524","2020-12-04 11:58:51","kyh7524","N"
"30119","WL2020081400022","lys001","I","9","HSS","10000","21890.98239936","만기","1","2020-12-03 03:05:00","lys001","2020-12-03 08:05:52","lys001","N"
"30116","WL2020071301130","qqorrn","I","9","HSS","10000","17095.80049226","만기","1","2020-12-03 03:05:00","qqorrn","2020-12-03 18:44:26","qqorrn","N"
"30117","WL2020072200016","kyk4155","I","9","HSS","10000","425529.90476337","만기","1","2020-12-03 03:05:00","kyk4155",\n,\n,"Y"
"30115","WL2020071500018","sshh2019","I","6","HSS","46.66666666","680.02568654","마이닝청산","마이닝청산","2020-12-03 03:04:36","sshh2019","2020-12-04 03:56:21","sshh2019","N"
"30114","WL2020111600018","boss001","I","1","HSS","20608.10810811","276697.92326102","송금","크립토출금요청","2020-12-03 02:18:18","boss001","2020-12-03 14:47:53","boss001","N"
"30113","WL2020071600052","annaliza09","I","6","HSS","40","120.27399998","마이닝청산","마이닝청산","2020-12-03 02:08:43","annaliza09",\n,\n,"Y"
"30112","WL2020081800014","coco23","O","1","HSS","50070","274694.93534615","출금","출금신청","2020-12-03 01:23:17","coco23",\n,\n,"Y"
"30111","WL2020111600010","koreatop1","I","1","HSS","18013.46801347","124156.67497167","송금","크립토출금요청","2020-12-03 01:11:11","koreatop1","2020-12-03 13:05:06","koreatop1","N"
"30110","WL2020071300810","kdo001","I","6","HSS","1419.9999996","20571.31671175","마이닝청산","마이닝청산","2020-12-03 00:37:16","kdo001","2020-12-04 18:02:35","kdo001","N"
"30109","WL2020111600036","asd002","I","1","HSS","10046.04437003","10046.87173722","송금","크립토출금요청","2020-12-03 00:33:53","asd002","2020-12-03 11:47:21","asd002","N"
"30108","WL2020111600032","asd001","I","1","HSS","12146.77351329","12147.16738357","송금","크립토출금요청","2020-12-03 00:33:25","asd001","2020-12-03 11:46:23","asd001","N"
"30107","WL2020071400274","lgntpc11","I","6","HSS","7426.66666304","15727.72985951","마이닝청산","마이닝청산","2020-12-03 00:26:56","lgntpc11","2020-12-04 06:51:51","lgntpc11","N"
"30106","WL2020111600030","kmr26730","O","1","HSS","10070","107.09825129","출금","출금신청","2020-12-03 00:24:47","kmr26730","2020-12-04 00:26:51","kmr26730","N"
"30105","WL2020112500004","yk520059","I","1","HSS","10067.11409396","75002.24110125","송금","크립토출금요청","2020-12-03 00:24:34","yk520059","2020-12-04 19:02:26","yk520059","N"
